FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
TRJOBS,ORD,,'+,?,,,,'-,'-,17,,1,,,YY,'-,listonly,'+,'-,2022-05-21 01:00:57,B
TRJOBS,PAR,,'+,?,*,'+,X,'-,'+,10,,0,,WEPART,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,PAS,,'-,?,*,'+,X,'-,'-,23,,0,'+,,YN,'-,,'-,'-,2021-09-29 09:33:24,B
TRJOBS,PEV,PERM,'+,?,*,'+,,'-,,30,,1,'+,,YN,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,PFA,,'+,?,*,'+,X,'-,'-,31,,1,'+,WEJOBP,YN,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,PLA,,'-,?,*,'+,X,'-,'-,43,,1,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,REA,READ,'+,?,*,'+,X,'-,,9,,1,'+,WEMTRR,YY,'-,,'-,'-,2021-11-20 01:25:52,B
TRJOBS,RMR,,'+,?,,,,'-,'-,55,,1,,,YY,'-,listonly,'+,'-,2022-10-21 17:55:05,B
TRJOBS,RSL,,'+,?,,,,,'-,60,,0,'-,,YY,'-,listonly,'+,'-,2026-04-02 01:02:59,B
TRJOBS,RSS,,'+,?,*,'+,X,'-,'-,33,,2,'+,WEJOBR,YY,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,RWH,EVNT,'+,?,*,,,'-,'-,37,,0,'+,,YY,'-,listonly,'+,'-,2021-09-29 09:33:24,B
TRJOBS,RWO,EVNT,'+,?,*,,,'-,'-,36,,1,'+,,YY,'-,listonly,'-,'-,2022-10-21 17:55:05,B
TRJOBS,SCH,,'+,?,*,'+,X,'-,,8,,0,'+,WESCHD,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,SRQ,,'+,?,,,,'-,'-,20,,1,,,YN,'-,recordview,'-,'-,2022-10-21 17:55:05,B
TRJOBS,TOR,,'+,?,*,'+,X,'-,'-,15,,2,'+,WETLWO,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,TOU,,'+,?,*,'+,X,'-,'-,14,,0,'+,WETLUG,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,TPL,,'+,?,*,'+,X,'-,'-,35,,0,'+,WEPNTL,YY,'-,listdetailview,'-,'-,2021-09-29 09:33:24,B
TRJOBS,TRL,TRL,'+,?,,,,'-,'-,50,,2,,,YY,'-,listonly,'+,'-,2022-05-21 01:00:57,B
TRJOBS,TRTD,,'+,?,,,,'-,'-,99,,0,,,YY,'-,listdetailview,'-,'+,2021-09-29 09:33:24,W
TRJOBS,UT1,,'+,?,*,'+,X,,,57,,1,,,YY,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,VBH,BOOK,'+,?,,'+,,'-,'-,6,,1,'+,WEVDBK,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
TRJOBS,WEH,,'+,?,,,,'-,'-,58,,2,,,YY,'-,listonly,'+,'-,2024-10-03 02:13:01,B
TRJOBS,WFE,WFEV,'+,?,*,,,'-,'-,57,,0,,,YY,'-,listonly,'-,'-,2023-10-12 10:50:25,B
TRJOBS,WKM,WKMV,'+,?,*,'+,X,'-,'-,45,,2,'+,OEWKMV,YY,'-,,'-,'-,2022-05-21 01:00:57,B
TRJOBS,WOR,WORP,'-,?,*,'+,X,'-,'-,42,,1,'+,WEWORP,YY,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
